date,product_id,product_name,tenant_id,demand,demand_pattern,business_type,price,cost,profit_margin,day_of_week,month,quarter,is_weekend,is_holiday,is_month_end
2023-09-30,prod-1,Smartphone 1,tenant-1,9,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,5,9,3,True,False,True
2023-10-01,prod-1,Smartphone 1,tenant-1,12,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,6,10,4,True,False,False
2023-10-02,prod-1,Smartphone 1,tenant-1,15,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,0,10,4,False,False,False
2023-10-03,prod-1,Smartphone 1,tenant-1,19,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,1,10,4,False,False,False
2023-10-04,prod-1,Smartphone 1,tenant-1,22,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,2,10,4,False,False,False
2023-10-05,prod-1,Smartphone 1,tenant-1,18,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,3,10,4,False,False,False
2023-10-06,prod-1,Smartphone 1,tenant-1,13,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,4,10,4,False,False,False
2023-10-07,prod-1,Smartphone 1,tenant-1,11,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,5,10,4,True,False,False
2023-10-08,prod-1,Smartphone 1,tenant-1,12,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,6,10,4,True,False,False
2023-10-09,prod-1,Smartphone 1,tenant-1,17,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,0,10,4,False,False,False
2023-10-10,prod-1,Smartphone 1,tenant-1,24,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,1,10,4,False,False,False
2023-10-11,prod-1,Smartphone 1,tenant-1,18,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,2,10,4,False,False,False
2023-10-12,prod-1,Smartphone 1,tenant-1,18,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,3,10,4,False,False,False
2023-10-13,prod-1,Smartphone 1,tenant-1,14,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,4,10,4,False,False,False
2023-10-14,prod-1,Smartphone 1,tenant-1,15,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,5,10,4,True,False,False
2023-10-15,prod-1,Smartphone 1,tenant-1,12,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,6,10,4,True,False,False
2023-10-16,prod-1,Smartphone 1,tenant-1,17,high,electronics,751.8783139110598,430.2594071021801,0.4277539341917025,0,10,4,False,False,False
